Registered Voters,Ballots Cast,Turnout,
"1,497,292","1,105,998",73.87%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
32,564,381,67.55%
33,638,438,68.65%
34,150,83,55.33%
35,494,340,68.83%
36,531,336,63.28%
37,801,551,68.79%
38,317,175,55.21%
39,550,395,71.82%
40,723,471,65.15%
41,530,412,77.74%
42,503,337,67.00%
43,679,482,70.99%
44,596,437,73.32%
45,613,443,72.27%
46,538,366,68.03%
47,704,474,67.33%
48,454,272,59.91%
49,375,309,82.40%
50,558,301,53.94%
51,609,350,57.47%
52,556,358,64.39%
53,425,244,57.41%
54,551,343,62.25%
55,518,353,68.15%
56,540,357,66.11%
57,575,336,58.43%
58,628,453,72.13%
59,359,260,72.42%
60,421,291,69.12%
61,572,305,53.32%
Total,"32,385","21,761",67.19%
,,,
Ward 29,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,772,790,102.33%
2,621,381,61.35%
3,586,530,90.44%
4,501,428,85.43%
5,553,459,83.00%
6,417,262,62.83%
7,468,321,68.59%
8,435,335,77.01%
9,450,323,71.78%
10,349,261,74.79%
11,541,469,86.69%
12,561,504,89.84%
13,498,482,96.79%
14,562,503,89.50%
15,440,443,100.68%
16,653,585,89.59%
17,404,361,89.36%
18,692,544,78.61%
19,747,645,86.35%
20,658,539,81.91%
21,672,573,85.27%
22,597,412,69.01%
23,614,483,78.66%
24,446,339,76.01%
25,582,521,89.52%
26,487,406,83.37%
27,525,482,91.81%
28,748,618,82.62%
29,666,542,81.38%
30,380,294,77.37%
31,537,466,86.78%
32,654,377,57.65%
33,399,364,91.23%
34,497,338,68.01%
35,456,406,89.04%
36,599,569,94.99%
37,516,448,86.82%
38,523,418,79.92%
39,393,361,91.86%
40,607,593,97.69%
41,599,499,83.31%
42,720,583,80.97%
43,590,547,92.71%
44,476,377,79.20%
45,481,405,84.20%
46,475,457,96.21%
47,632,580,91.77%
48,514,444,86.38%
49,740,643,86.89%
Total,"27,033","22,710",84.01%
,,,
Ward 30,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,426,329,77.23%
2,414,277,66.91%
3,666,460,69.07%
4,579,337,58.20%
5,513,246,47.95%
6,437,287,65.68%
7,483,304,62.94%
8,644,380,59.01%
9,525,331,63.05%
10,624,337,54.01%
11,378,252,66.67%
12,485,297,61.24%
13,479,331,69.10%
14,311,146,46.95%
15,374,299,79.95%
16,582,367,63.06%
17,365,204,55.89%
18,577,313,54.25%
19,468,260,55.56%
20,504,294,58.33%
21,758,370,48.81%
22,738,378,51.22%
23,641,373,58.19%
24,626,345,55.11%
25,466,223,47.85%
26,416,227,54.57%
27,872,480,55.05%
28,494,291,58.91%
29,386,223,57.77%
30,665,439,66.02%
31,504,257,50.99%
32,313,145,46.33%
33,611,328,53.68%
34,511,345,67.51%
35,572,329,57.52%
36,612,324,52.94%
37,477,289,60.59%
38,565,422,74.69%
39,580,353,60.86%
40,608,334,54.93%
41,603,334,55.39%
Total,"21,852","12,860",58.85%
,,,
Ward 31,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,261,152,58.24%
2,313,217,69.33%
3,407,258,63.39%
4,453,251,55.41%
5,472,332,70.34%
6,539,279,51.76%
7,511,301,58.90%
8,351,211,60.11%
9,420,259,61.67%
10,316,162,51.27%
11,325,209,64.31%
12,463,290,62.63%
13,580,328,56.55%
14,492,277,56.30%
15,316,171,54.11%
16,396,233,58.84%
17,420,289,68.81%
18,478,255,53.35%
19,402,242,60.20%
20,457,234,51.20%
21,512,314,61.33%
22,348,211,60.63%
23,288,187,64.93%
24,380,233,61.32%
25,471,284,60.30%
26,382,220,57.59%
27,461,268,58.13%
28,442,292,66.06%
29,389,255,65.55%
30,487,316,64.89%
31,563,368,65.36%
32,463,296,63.93%
33,425,291,68.47%
34,388,230,59.28%
35,391,205,52.43%
36,485,322,66.39%
37,516,305,59.11%
38,312,177,56.73%
39,397,194,48.87%
40,306,202,66.01%
41,471,299,63.48%
42,518,332,64.09%
43,509,337,66.21%
44,491,293,59.67%
45,459,282,61.44%
46,408,266,65.20%
47,480,293,61.04%
48,476,282,59.24%
49,243,144,59.26%
50,518,328,63.32%
51,306,183,59.80%
Total,"21,657","13,159",60.76%
,,,
Ward 32,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,775,576,74.32%
2,840,667,79.40%
3,717,535,74.62%
4,782,633,80.95%
5,580,465,80.17%
6,744,544,73.12%
7,698,562,80.52%
8,1021,854,83.64%
9,965,823,85.28%
10,843,631,74.85%
11,641,499,77.85%
12,460,349,75.87%
13,401,304,75.81%
14,667,497,74.51%
15,545,435,79.82%
16,698,553,79.23%
17,880,652,74.09%
18,687,554,80.64%
19,690,548,79.42%
20,731,570,77.98%
21,558,462,82.80%
22,809,684,84.55%
23,699,554,79.26%
24,935,744,79.57%
25,634,501,79.02%
26,647,451,69.71%
27,689,556,80.70%
28,583,495,84.91%
29,608,470,77.30%
30,849,717,84.45%
31,884,719,81.33%
32,765,623,81.44%
33,523,377,72.08%
34,987,735,74.47%
35,745,630,84.56%
36,869,730,84.00%
37,758,560,73.88%
38,789,685,86.82%
39,858,728,84.85%
40,785,637,81.15%
41,863,657,76.13%
42,949,755,79.56%
43,661,567,85.78%
44,530,387,73.02%
45,682,560,82.11%
46,353,221,62.61%
47,848,643,75.83%
48,1072,857,79.94%
49,817,572,70.01%
50,877,729,83.12%
51,806,647,80.27%
52,474,370,78.06%
Total,"38,271","30,274",79.10%
,,,
Ward 33,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,822,588,71.53%
2,775,625,80.65%
3,716,569,79.47%
4,810,642,79.26%
5,756,526,69.58%
6,699,550,78.68%
7,697,615,88.24%
